trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,15.130743725878574,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",25,0,-1.7994216460839583,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,9,-3.1986598293852833,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,0,12.475110440291836,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,0,24.129987479255206,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,16.8400722032044,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,9,-12.39274311393299,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,13,-51.93316141073882,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,12,-0.10599700538333123,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,11,-22.462431878133067,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
